timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1739553484399,136,HTTP Request - log in,200,OK,Thread Group Load 1-2,text,true,,10213,161,30,30,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,136,utf-8,1,0,PHUONG-ANH,0,111
1739553484424,127,HTTP Request - log in,200,OK,Thread Group Load 1-7,text,true,,10213,161,30,30,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,127,utf-8,1,0,PHUONG-ANH,0,102
1739553484430,123,HTTP Request - log in,200,OK,Thread Group Load 1-8,text,true,,10213,161,30,30,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,123,utf-8,1,0,PHUONG-ANH,0,97
1739553484392,169,HTTP Request - log in,200,OK,Thread Group Load 1-1,text,true,,10213,161,30,30,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,169,utf-8,1,0,PHUONG-ANH,0,140
1739553484439,123,HTTP Request - log in,200,OK,Thread Group Load 1-12,text,true,,10213,161,30,30,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,122,utf-8,1,0,PHUONG-ANH,0,93
1739553484420,143,HTTP Request - log in,200,OK,Thread Group Load 1-6,text,true,,10213,161,30,30,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,143,utf-8,1,0,PHUONG-ANH,0,115
1739553484429,142,HTTP Request - log in,200,OK,Thread Group Load 1-10,text,true,,10213,161,31,31,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,142,utf-8,1,0,PHUONG-ANH,0,92
1739553484398,175,HTTP Request - log in,200,OK,Thread Group Load 1-3,text,true,,10213,161,31,31,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,175,utf-8,1,0,PHUONG-ANH,0,122
1739553484414,162,HTTP Request - log in,200,OK,Thread Group Load 1-5,text,true,,10213,161,31,31,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,162,utf-8,1,0,PHUONG-ANH,0,100
1739553484423,154,HTTP Request - log in,200,OK,Thread Group Load 1-9,text,true,,10213,161,31,31,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,154,utf-8,1,0,PHUONG-ANH,0,92
1739553484443,171,HTTP Request - log in,200,OK,Thread Group Load 1-13,text,true,,10213,161,31,31,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,171,utf-8,1,0,PHUONG-ANH,0,139
1739553484464,157,HTTP Request - log in,200,OK,Thread Group Load 1-15,text,true,,10213,161,31,31,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,157,utf-8,1,0,PHUONG-ANH,0,126
1739553484467,159,HTTP Request - log in,200,OK,Thread Group Load 1-17,text,true,,10213,161,31,31,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,159,utf-8,1,0,PHUONG-ANH,0,132
1739553484466,160,HTTP Request - log in,200,OK,Thread Group Load 1-16,text,true,,10213,161,31,31,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,160,utf-8,1,0,PHUONG-ANH,0,134
1739553484465,168,HTTP Request - log in,200,OK,Thread Group Load 1-14,text,true,,10213,161,31,31,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,168,utf-8,1,0,PHUONG-ANH,0,135
1739553484410,234,HTTP Request - log in,200,OK,Thread Group Load 1-4,text,true,,10213,161,34,34,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,234,utf-8,1,0,PHUONG-ANH,0,100
1739553484529,116,HTTP Request - log in,200,OK,Thread Group Load 1-28,text,true,,10213,161,34,34,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,116,utf-8,1,0,PHUONG-ANH,0,92
1739553484433,214,HTTP Request - log in,200,OK,Thread Group Load 1-11,text,true,,10213,161,34,34,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,214,utf-8,1,0,PHUONG-ANH,0,94
1739553484472,177,HTTP Request - log in,200,OK,Thread Group Load 1-18,text,true,,10213,161,36,36,https://demox.nextx.vn/auth/login?username=admin&password=1234%24,,177,utf-8,1,0,PHUONG-ANH,0,150
